"Plot Title: 10972695"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10972695, SEN S/N: 10972695)","Coupler Detached (LGR S/N: 10972695)","Coupler Attached (LGR S/N: 10972695)","Host Connected (LGR S/N: 10972695)","Stopped (LGR S/N: 10972695)","End Of File (LGR S/N: 10972695)"
1,10/24/16 05:00:00 PM,69.514,Logged,,,,
2,10/24/16 05:10:00 PM,69.471,,,,,
3,10/24/16 05:20:00 PM,69.427,,,,,
4,10/24/16 05:30:00 PM,69.386,,,,,
5,10/24/16 05:40:00 PM,69.427,,,,,
6,10/24/16 05:50:00 PM,69.427,,,,,
7,10/24/16 06:00:00 PM,69.471,,,,,
8,10/24/16 06:10:00 PM,69.386,,,,,
9,10/24/16 06:20:00 PM,69.300,,,,,
10,10/24/16 06:30:00 PM,69.213,,,,,
11,10/24/16 06:40:00 PM,69.129,,,,,
12,10/24/16 06:50:00 PM,69.085,,,,,
13,10/24/16 07:00:00 PM,69.042,,,,,
14,10/24/16 07:10:00 PM,68.956,,,,,
15,10/24/16 07:20:00 PM,68.956,,,,,
16,10/24/16 07:30:00 PM,68.999,,,,,
17,10/24/16 07:40:00 PM,68.999,,,,,
18,10/24/16 07:50:00 PM,69.042,,,,,
19,10/24/16 08:00:00 PM,69.042,,,,,
20,10/24/16 08:10:00 PM,69.042,,,,,
21,10/24/16 08:20:00 PM,69.042,,,,,
22,10/24/16 08:30:00 PM,68.956,,,,,
23,10/24/16 08:40:00 PM,68.913,,,,,
24,10/24/16 08:50:00 PM,68.871,,,,,
25,10/24/16 09:00:00 PM,68.871,,,,,
26,10/24/16 09:10:00 PM,68.828,,,,,
27,10/24/16 09:20:00 PM,68.785,,,,,
28,10/24/16 09:30:00 PM,68.742,,,,,
29,10/24/16 09:40:00 PM,68.742,,,,,
30,10/24/16 09:50:00 PM,68.698,,,,,
31,10/24/16 10:00:00 PM,68.698,,,,,
32,10/24/16 10:10:00 PM,68.698,,,,,
33,10/24/16 10:20:00 PM,68.657,,,,,
