"Plot Title: Gap Mills"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10039792, SEN S/N: 10039792)","Temp, °F (LGR S/N: 10039792, SEN S/N: 10039792)","Coupler Detached (LGR S/N: 10039792)","Coupler Attached (LGR S/N: 10039792)","Host Connected (LGR S/N: 10039792)","Stopped (LGR S/N: 10039792)","End Of File (LGR S/N: 10039792)"
1,03/10/17 12:00:00 PM,84.7,49.78,,,,,
2,03/10/17 12:15:00 PM,85.1,49.82,,,,,
3,03/10/17 12:30:00 PM,84.7,49.82,,,,,
4,03/10/17 12:45:00 PM,85.1,49.82,,,,,
5,03/10/17 01:00:00 PM,84.7,49.82,,,,,
6,03/10/17 01:15:00 PM,85.1,49.84,,,,,
7,03/10/17 01:30:00 PM,84.7,49.82,,,,,
8,03/10/17 01:45:00 PM,84.7,49.82,,,,,
9,03/10/17 02:00:00 PM,84.7,49.82,,,,,
10,03/10/17 02:15:00 PM,84.7,49.78,,,,,
11,03/10/17 02:30:00 PM,84.7,49.82,,,,,
12,03/10/17 02:45:00 PM,84.7,49.84,,,,,
13,03/10/17 03:00:00 PM,84.7,49.82,,,,,
14,03/10/17 03:15:00 PM,84.7,49.82,,,,,
15,03/10/17 03:30:00 PM,85.1,49.82,,,,,
16,03/10/17 03:45:00 PM,85.5,49.82,,,,,
17,03/10/17 04:00:00 PM,85.1,49.82,,,,,
18,03/10/17 04:15:00 PM,85.5,49.82,,,,,
19,03/10/17 04:30:00 PM,85.1,49.82,,,,,
20,03/10/17 04:45:00 PM,85.1,49.82,,,,,
21,03/10/17 05:00:00 PM,85.1,49.82,,,,,
22,03/10/17 05:15:00 PM,84.7,49.84,,,,,
23,03/10/17 05:30:00 PM,85.1,49.82,,,,,
24,03/10/17 05:45:00 PM,85.5,49.84,,,,,
25,03/10/17 06:00:00 PM,85.5,49.82,,,,,
26,03/10/17 06:15:00 PM,85.1,49.82,,,,,
27,03/10/17 06:30:00 PM,85.1,49.84,,,,,
28,03/10/17 06:45:00 PM,84.7,49.84,,,,,
29,03/10/17 07:00:00 PM,85.5,49.84,,,,,
30,03/10/17 07:15:00 PM,85.5,49.82,,,,,
31,03/10/17 07:30:00 PM,85.5,49.82,,,,,
32,03/10/17 07:45:00 PM,85.5,49.84,,,,,
33,03/10/17 08:00:00 PM,85.9,49.84,,,,,
34,03/10/17 08:15:00 PM,85.5,49.84,,,,,
35,03/10/17 08:30:00 PM,85.5,49.84,,,,,
36,03/10/17 08:45:00 PM,85.5,49.84,,,,,
37,03/10/17 09:00:00 PM,85.5,49.84,,,,,
38,03/10/17 09:15:00 PM,85.5,49.84,,,,,
39,03/10/17 09:30:00 PM,85.5,49.82,,,,,
40,03/10/17 09:45:00 PM,85.5,49.82,,,,,
41,03/10/17 10:00:00 PM,85.5,49.82,,,,,
42,03/10/17 10:15:00 PM,85.5,49.84,,,,,
43,03/10/17 10:30:00 PM,85.5,49.84,,,,,
44,03/10/17 10:45:00 PM,85.5,49.82,,,,,
45,03/10/17 11:00:00 PM,85.5,49.84,,,,,
46,03/10/17 11:15:00 PM,85.5,49.84,,,,,
47,03/10/17 11:30:00 PM,85.5,49.84,,,,,
48,03/10/17 11:45:00 PM,85.9,49.82,,,,,
49,03/11/17 12:00:00 AM,86.2,49.84,,,,,
50,03/11/17 12:15:00 AM,86.2,49.82,,,,,
51,03/11/17 12:30:00 AM,86.6,49.84,,,,,
52,03/11/17 12:45:00 AM,86.2,49.82,,,,,
53,03/11/17 01:00:00 AM,86.2,49.84,,,,,
54,03/11/17 01:15:00 AM,86.6,49.84,,,,,
55,03/11/17 01:30:00 AM,85.9,49.84,,,,,
56,03/11/17 01:45:00 AM,86.2,49.82,,,,,
57,03/11/17 02:00:00 AM,86.2,49.84,,,,,
58,03/11/17 02:15:00 AM,86.2,49.84,,,,,
59,03/11/17 02:30:00 AM,86.6,49.84,,,,,
60,03/11/17 02:45:00 AM,86.2,49.84,,,,,
61,03/11/17 03:00:00 AM,86.2,49.82,,,,,
62,03/11/17 03:15:00 AM,86.2,49.84,,,,,
63,03/11/17 03:30:00 AM,86.6,49.84,,,,,
64,03/11/17 03:45:00 AM,86.6,49.84,,,,,
65,03/11/17 04:00:00 AM,86.2,49.82,,,,,
66,03/11/17 04:15:00 AM,86.6,49.84,,,,,
67,03/11/17 04:30:00 AM,86.2,49.84,,,,,
68,03/11/17 04:45:00 AM,86.2,49.84,,,,,
69,03/11/17 05:00:00 AM,86.2,49.84,,,,,
70,03/11/17 05:15:00 AM,86.2,49.84,,,,,
71,03/11/17 05:30:00 AM,86.6,49.84,,,,,
72,03/11/17 05:45:00 AM,86.2,49.82,,,,,
73,03/11/17 06:00:00 AM,86.2,49.84,,,,,
74,03/11/17 06:15:00 AM,86.2,49.82,,,,,
75,03/11/17 06:30:00 AM,86.6,49.84,,,,,
76,03/11/17 06:45:00 AM,86.6,49.84,,,,,
77,03/11/17 07:00:00 AM,86.2,49.84,,,,,
78,03/11/17 07:15:00 AM,86.2,49.84,,,,,
79,03/11/17 07:30:00 AM,86.6,49.84,,,,,
80,03/11/17 07:45:00 AM,86.2,49.84,,,,,
81,03/11/17 08:00:00 AM,86.2,49.82,,,,,
82,03/11/17 08:15:00 AM,86.6,49.84,,,,,
83,03/11/17 08:30:00 AM,86.6,49.84,,,,,
84,03/11/17 08:45:00 AM,86.6,49.84,,,,,
85,03/11/17 09:00:00 AM,86.6,49.82,,,,,
86,03/11/17 09:15:00 AM,86.6,49.84,,,,,
87,03/11/17 09:30:00 AM,86.6,49.84,,,,,
88,03/11/17 09:45:00 AM,87.0,49.86,,,,,
89,03/11/17 10:00:00 AM,86.6,49.84,,,,,
90,03/11/17 10:15:00 AM,87.0,49.84,,,,,
91,03/11/17 10:30:00 AM,87.0,49.86,,,,,
92,03/11/17 10:45:00 AM,86.6,49.84,,,,,
93,03/11/17 11:00:00 AM,86.6,49.84,,,,,
