"Plot Title: Coburn Srpring"
"#","Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 10039793, SEN S/N: 10039793)","Temp, °C (LGR S/N: 10039793, SEN S/N: 10039793)","Coupler Detached (LGR S/N: 10039793)","Coupler Attached (LGR S/N: 10039793)","Host Connected (LGR S/N: 10039793)","Stopped (LGR S/N: 10039793)","End Of File (LGR S/N: 10039793)"
1,10/15/16 05:00:00 PM,2.8,24.01,Logged,,,,
2,10/15/16 05:20:00 PM,2.8,24.01,,,,,
3,10/15/16 05:40:00 PM,2.8,23.98,,,,,
4,10/15/16 06:00:00 PM,2.8,23.97,,,,,
5,10/15/16 06:20:00 PM,2.8,23.94,,,,,
6,10/15/16 06:40:00 PM,9.3,23.89,,,,,
7,10/15/16 07:00:00 PM,9.3,23.82,,,,,
8,10/15/16 07:20:00 PM,9.3,23.73,,,,,
9,10/15/16 07:40:00 PM,9.3,23.64,,,,,
10,10/15/16 08:00:00 PM,9.3,23.55,,,,,
11,10/15/16 08:20:00 PM,2.8,23.43,,,,,
12,10/15/16 08:40:00 PM,9.3,23.31,,,,,
13,10/15/16 09:00:00 PM,2.8,23.19,,,,,
14,10/15/16 09:20:00 PM,6.2,23.07,,,,,
15,10/15/16 09:40:00 PM,2.8,22.95,,,,,
16,10/15/16 10:00:00 PM,9.3,22.83,,,,,
17,10/15/16 10:20:00 PM,2.8,22.71,,,,,
18,10/15/16 10:40:00 PM,2.8,22.59,,,,,
19,10/15/16 11:00:00 PM,9.3,22.49,,,,,
20,10/15/16 11:20:00 PM,2.8,22.38,,,,,
21,10/15/16 11:40:00 PM,2.8,22.27,,,,,
22,10/16/16 12:00:00 AM,9.3,22.17,,,,,
23,10/16/16 12:20:00 AM,9.3,22.07,,,,,
24,10/16/16 12:40:00 AM,2.8,21.97,,,,,
25,10/16/16 01:00:00 AM,2.8,21.88,,,,,
26,10/16/16 01:20:00 AM,6.2,21.78,,,,,
27,10/16/16 01:40:00 AM,2.8,21.68,,,,,
28,10/16/16 02:00:00 AM,2.8,21.58,,,,,
29,10/16/16 02:20:00 AM,2.8,21.49,,,,,
30,10/16/16 02:40:00 AM,2.8,21.40,,,,,
31,10/16/16 03:00:00 AM,2.8,21.31,,,,,
32,10/16/16 03:20:00 AM,9.3,21.21,,,,,
33,10/16/16 03:40:00 AM,9.4,21.12,,,,,
34,10/16/16 04:00:00 AM,2.8,21.03,,,,,
35,10/16/16 04:20:00 AM,9.4,20.95,,,,,
36,10/16/16 04:40:00 AM,2.8,20.87,,,,,
37,10/16/16 05:00:00 AM,2.8,20.79,,,,,
38,10/16/16 05:20:00 AM,2.8,20.71,,,,,
39,10/16/16 05:40:00 AM,9.4,20.63,,,,,
40,10/16/16 06:00:00 AM,2.8,20.56,,,,,
41,10/16/16 06:20:00 AM,9.4,20.50,,,,,
42,10/16/16 06:40:00 AM,2.8,20.42,,,,,
43,10/16/16 07:00:00 AM,2.8,20.35,,,,,
44,10/16/16 07:20:00 AM,9.4,20.28,,,,,
45,10/16/16 07:40:00 AM,9.4,20.22,,,,,
46,10/16/16 08:00:00 AM,2.8,20.16,,,,,
47,10/16/16 08:20:00 AM,9.4,20.10,,,,,
48,10/16/16 08:40:00 AM,9.4,20.06,,,,,
49,10/16/16 09:00:00 AM,2.8,20.02,,,,,
50,10/16/16 09:20:00 AM,9.4,20.01,,,,,
51,10/16/16 09:40:00 AM,2.8,19.99,,,,,
52,10/16/16 10:00:00 AM,2.8,20.01,,,,,
53,10/16/16 10:20:00 AM,2.8,20.03,,,,,
54,10/16/16 10:40:00 AM,2.8,20.07,,,,,
55,10/16/16 11:00:00 AM,2.8,20.12,,,,,
56,10/16/16 11:20:00 AM,2.8,20.24,,,,,
57,10/16/16 11:40:00 AM,9.4,20.38,,,,,
58,10/16/16 12:00:00 PM,2.8,20.54,,,,,
59,10/16/16 12:20:00 PM,2.8,20.84,,,,,
60,10/16/16 12:40:00 PM,2.8,21.40,,,,,
61,10/16/16 01:00:00 PM,9.3,21.94,,,,,
62,10/16/16 01:20:00 PM,2.8,22.49,,,,,
63,10/16/16 01:40:00 PM,2.8,23.00,,,,,
64,10/16/16 02:00:00 PM,2.8,23.43,,,,,
65,10/16/16 02:20:00 PM,2.8,23.65,,,,,
66,10/16/16 02:40:00 PM,2.8,23.79,,,,,
67,10/16/16 03:00:00 PM,9.3,23.84,,,,,
68,10/16/16 03:20:00 PM,2.8,23.86,,,,,
69,10/16/16 03:40:00 PM,2.8,23.85,,,,,
70,10/16/16 04:00:00 PM,2.8,23.85,,,,,
71,10/16/16 04:20:00 PM,2.8,23.85,,,,,
72,10/16/16 04:40:00 PM,9.3,23.85,,,,,
73,10/16/16 05:00:00 PM,9.3,23.85,,,,,
74,10/16/16 05:20:00 PM,2.8,23.84,,,,,
75,10/16/16 05:40:00 PM,2.8,23.85,,,,,
76,10/16/16 06:00:00 PM,2.8,23.82,,,,,
77,10/16/16 06:20:00 PM,9.3,23.82,,,,,
78,10/16/16 06:40:00 PM,9.3,23.80,,,,,
79,10/16/16 07:00:00 PM,6.2,23.77,,,,,
80,10/16/16 07:20:00 PM,9.3,23.73,,,,,
81,10/16/16 07:40:00 PM,2.8,23.68,,,,,
82,10/16/16 08:00:00 PM,9.3,23.64,,,,,
83,10/16/16 08:20:00 PM,2.8,23.56,,,,,
84,10/16/16 08:40:00 PM,2.8,23.49,,,,,
85,10/16/16 09:00:00 PM,2.8,23.40,,,,,
86,10/16/16 09:20:00 PM,9.3,23.32,,,,,
87,10/16/16 09:40:00 PM,2.8,23.24,,,,,
88,10/16/16 10:00:00 PM,2.8,23.15,,,,,
89,10/16/16 10:20:00 PM,2.8,23.06,,,,,
90,10/16/16 10:40:00 PM,2.8,22.96,,,,,
91,10/16/16 11:00:00 PM,2.8,22.86,,,,,
92,10/16/16 11:20:00 PM,9.3,22.76,,,,,
93,10/16/16 11:40:00 PM,2.8,22.67,,,,,
94,10/17/16 12:00:00 AM,2.8,22.57,,,,,
95,10/17/16 12:20:00 AM,2.8,22.47,,,,,
96,10/17/16 12:40:00 AM,2.8,22.38,,,,,
97,10/17/16 01:00:00 AM,2.8,22.27,,,,,
98,10/17/16 01:20:00 AM,2.8,22.18,,,,,
99,10/17/16 01:40:00 AM,2.8,22.09,,,,,
100,10/17/16 02:00:00 AM,9.3,21.99,,,,,
